id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
359783-2026;2026-05-26T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – TPB.364.01 Schließanlage;Deutsches Museum von Meisterwerken der Naturwissenschaft und Technik (AdöR);München;440620.4;;45421100;80;https://ted.europa.eu/bg/notice/-/detail/359783-2026
362640-2026;2026-05-26T22:00:00.000Z;Deutschland – Beschlagarbeiten – Schließ- und Zutrittskontrollsystem;Nationaltheater Mannheim;Mannheim;586377.73;;45421160;80;https://ted.europa.eu/bg/notice/-/detail/362640-2026
363064-2026;2026-05-26T22:00:00.000Z;Deutschland – Fassadenarbeiten – Weidenstieg 29 - Fassade;SBH | Schulbau Hamburg;Hamburg;7089000;2026-06-26T08:00:00.000Z;44221000 45421100;75;https://ted.europa.eu/bg/notice/-/detail/363064-2026
359930-2026;2026-05-26T22:00:00.000Z;Deutschland – Bautischlerarbeiten – Gewerbezentrum Alanbrooke Paderborn mit dem Schwerpunkt Kreativwirtschaft;Alanbrooke Block 4 UG (haftungsbeschränkt);Paderborn;;2026-06-10T08:00:00.000Z;44221000 45421000 44221100;63;https://ted.europa.eu/bg/notice/-/detail/359930-2026
360395-2026;2026-05-26T22:00:00.000Z;Deutschland – Errichtung von Geländern – Edelstahlschlosserarbeiten / Regionalbad Anbau;Zweckverband Regionalbad Bingen-Ingelheim;Bingen am Rhein;;2026-06-23T07:59:00.000Z;45340000 45341000;63;https://ted.europa.eu/bg/notice/-/detail/360395-2026
360829-2026;2026-05-26T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – VE300.009 Fenster Holz;Große Kreisstadt Donauwörth;Donauwörth;;2026-06-09T08:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/360829-2026
361300-2026;2026-05-26T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Fenster- und Sonnenschutz Feuerwache Kirchhellen;Stadt Bottrop;Bottrop;;2026-06-29T08:00:00.000Z;45421100;63;https://ted.europa.eu/bg/notice/-/detail/361300-2026
358022-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Einbaumöbeln – Tischlerarbeiten Garderoben Sitzbänke;Stadt Freilassing;Freilassing;78129.65;;45421153;60;https://ted.europa.eu/bg/notice/-/detail/358022-2026
361071-2026;2026-05-26T22:00:00.000Z;Deutschland – Bauleistungen im Hochbau – Ersatzneubau der Staatlichen Berufsschule in Regen mit FOS: Tischlerarbeiten 5 - Teeküchen und Pausenverkauf;Landkreis Regen;Regen;;;45421151;48;https://ted.europa.eu/bg/notice/-/detail/361071-2026
362878-2026;2026-05-26T22:00:00.000Z;Deutschland – Fassadenarbeiten – Fensteranlagen und PR-Fassade 70-00231-2530-305 - PR1161881-2530-B;Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V. - Einkauf B12 - Vergabestelle Bau;München;;;44221100 45421132;48;https://ted.europa.eu/bg/notice/-/detail/362878-2026
360622-2026;2026-05-26T22:00:00.000Z;Deutschland – Bauarbeiten für Schulgebäude – Neubau einer Stadtteilschule und Erweiterung eines Gymnasiums am Standort Turnierstieg 18 / 24 in Hamburg – Planungs- und Bauleistungen gem. VOB (Ausführung technische Ausrüstung);SBH | Schulbau Hamburg;Hamburg;60000000;2026-06-23T08:00:00.000Z;45343000;45;https://ted.europa.eu/bg/notice/-/detail/360622-2026
358314-2026;2026-05-26T22:00:00.000Z;Deutschland – Gipskartonarbeiten – A342.01 Trockenbau;Landratsamt Mühldorf am Inn - FB 13 Kommunaler Hochbau;Mühldorf a. Inn;;2026-06-30T12:00:00.000Z;45421146;43;https://ted.europa.eu/bg/notice/-/detail/358314-2026
358997-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Einbauküchen – Umbau und Sanierung Grundschule Süd Altötting HLS_LV06_Kücheneinbau;Stadt Altötting;Altötting;;2026-06-24T12:00:00.000Z;45421151;43;https://ted.europa.eu/bg/notice/-/detail/358997-2026
359426-2026;2026-05-26T22:00:00.000Z;Deutschland – Bauleistungen im Hochbau – Sanierung und Erweiterung der Grundschule Röthlein - Küchenbauarbeiten;Gemeinde Röthlein;Röthlein;;2026-06-30T08:00:00.000Z;45421151;43;https://ted.europa.eu/bg/notice/-/detail/359426-2026
359548-2026;2026-05-26T22:00:00.000Z;Deutschland – Bauleistungen im Hochbau – Sanierung und Erweiterung der Grundschule Röthlein - Schreinerarbeiten (Innentüren);Gemeinde Röthlein;Röthlein;;2026-06-30T08:00:00.000Z;45421111 45421131;43;https://ted.europa.eu/bg/notice/-/detail/359548-2026
360583-2026;2026-05-26T22:00:00.000Z;Deutschland – Einbau von Umkleideräumen – Garderobenanlagen und Innentüren;Stadt Waldenbuch;Waldenbuch;;2026-06-29T10:00:00.000Z;44221200 45421141 45421152;43;https://ted.europa.eu/bg/notice/-/detail/360583-2026
360984-2026;2026-05-26T22:00:00.000Z;Deutschland – Verglasungsarbeiten – Neubau Betriebshof Grünflächen und Forsten, Giebel 46, Wuppertal, Profilbauglas;Stadt Wuppertal;Wuppertal;;2026-06-29T07:00:00.000Z;45421112 45421132;43;https://ted.europa.eu/bg/notice/-/detail/360984-2026
361467-2026;2026-05-26T22:00:00.000Z;Deutschland – Einbau von abgehängten Decken – VG Maifeld - Energetische Sanierung Cusanusschule Münstermaifeld: Trockenbauarbeiten;Verbandsgemeinde Maifeld;Polch;;2026-06-09T08:00:00.000Z;45421146 45421141 45421152;43;https://ted.europa.eu/bg/notice/-/detail/361467-2026
361651-2026;2026-05-26T22:00:00.000Z;Deutschland – Installateurarbeiten und Verlegung von Abwasserleitungen – Sanitär- und Feuerlöschanlagen;Bäder Halle GmbH;Halle (Saale);;2026-06-10T07:30:00.000Z;45343220;43;https://ted.europa.eu/bg/notice/-/detail/361651-2026
362206-2026;2026-05-26T22:00:00.000Z;Deutschland – Metallbauarbeiten – 2026-1004893_Flughafen München_T1 SiKo C-Nord E05 - Metallbauarbeiten;Flughafen München GmbH;München;;2026-06-26T08:00:00.000Z;45421131 45421141;43;https://ted.europa.eu/bg/notice/-/detail/362206-2026
355461-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Türen und Fenstern sowie Zubehör – Rathaus Stühlingen-Sanierung Bestand und Neubau/Erweiterung - Innentüren - Verglasung;Stadt Stühlingen;Stühlingen;183110.06;;45421100;80;https://ted.europa.eu/bg/notice/-/detail/355461-2026
356714-2026;2026-05-25T22:00:00.000Z;Deutschland – Einbau von Fenstern – Neubau eines Fachraumtraktes für die BBS Papenburg: Holz-Aluminiumfenster;Landkreis Emsland;Meppen;610449.2;;45421100 45421132 45421130;80;https://ted.europa.eu/bg/notice/-/detail/356714-2026
353870-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten für Stahlkonstruktionen – Polizeipräsidium, Gesamtsanierung Stahlbauarbeiten;Vermögen und Bau Baden-Württemberg, Amt Heilbronn;Heilbronn;151572.52;2026-07-08T21:59:00.000Z;45223210;75;https://ted.europa.eu/bg/notice/-/detail/353870-2026
