id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
361089-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Heizung Lueftung Sanitaerinstallation;Staatliches Bauamt Krumbach;Krumbach;1025210;2026-07-02T07:50:00.000Z;45331000 45331100;75;https://ted.europa.eu/bg/notice/-/detail/361089-2026
361242-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Sanitäreinrichtungen – GS Hohenebra Los08 Heizung/Lüftung/Sanitär;Landratsamt Kyffhäuserkreis;Sondershausen;;;45331000 45332400;68;https://ted.europa.eu/bg/notice/-/detail/361242-2026
360622-2026;2026-05-26T22:00:00.000Z;Deutschland – Bauarbeiten für Schulgebäude – Neubau einer Stadtteilschule und Erweiterung eines Gymnasiums am Standort Turnierstieg 18 / 24 in Hamburg – Planungs- und Bauleistungen gem. VOB (Ausführung technische Ausrüstung);SBH | Schulbau Hamburg;Hamburg;60000000;2026-06-23T08:00:00.000Z;45316000 45317000;65;https://ted.europa.eu/bg/notice/-/detail/360622-2026
358012-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Heizungsinstallation;Markt Oberschwarzach, vertreten durch den Ersten Bürgermeister Andreas Zehner;Oberschwarzach;;2026-07-06T08:05:00.000Z;45331000;63;https://ted.europa.eu/bg/notice/-/detail/358012-2026
358013-2026;2026-05-26T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – 04 Baustrom und Baubeleuchtung;Staatliches Bau- und Liegenschaftsamt Rostock, die Bundesrepublik Deutschland vertretend;Rostock;;2026-07-02T21:59:00.000Z;45311200 45315300;63;https://ted.europa.eu/bg/notice/-/detail/358013-2026
358028-2026;2026-05-26T22:00:00.000Z;"Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – RS Schloss Neuhaus; Erweiterung; Wärmeversorgung";Stadt Paderborn;Paderborn;;2026-06-30T06:00:00.000Z;45331000 45331100;63;https://ted.europa.eu/bg/notice/-/detail/358028-2026
358267-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Elektroanlagen – MKK-WVSS: Elektroinstallation;Main-Kinzig-Kreis, Kreisausschuss Amt 65 Schulwesen, Bau- u. Liegenschaftsverwaltung;Gelnhausen;;2026-06-22T08:00:00.000Z;45311000 45311200;63;https://ted.europa.eu/bg/notice/-/detail/358267-2026
358416-2026;2026-05-26T22:00:00.000Z;Deutschland – Heizungs- und sonstige Elektroinstallationen in Gebäuden – Durchführung von Heizungs- und Sanitärarbeiten im Rahmen der Erweiterung des Ganztagsangebotes an der Selzerbachschule in 61184 Karben;Wetteraukreis - Zentrale Vergabestelle;Friedberg;;2026-06-30T07:00:00.000Z;45315000;63;https://ted.europa.eu/bg/notice/-/detail/358416-2026
358906-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Neubau Rettungswache Olvenstedt und Neubau Wohngruppe Olvenstedt, Birkenallee 41/43, 39130 Magdeburg , Los 4.01 - Heizung und Sanitär (Titel 1: Rettungswache, Titel 2: Wohngruppe);Landeshauptstadt Magdeburg, Die Oberbürgermeisterin;Magdeburg;;2026-06-29T06:59:00.000Z;45331000 45332000 45332200 45332300 45332400;63;https://ted.europa.eu/bg/notice/-/detail/358906-2026
359135-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Elektroanlagen – Elektroinstallationsarbeiten;VGem Mauern;Mauern;;2026-06-30T07:00:00.000Z;45311000;63;https://ted.europa.eu/bg/notice/-/detail/359135-2026
359207-2026;2026-05-26T22:00:00.000Z;"Deutschland – Installation von elektrischen Leitungen – Sanierung eines Büro-und Verwaltungsgebäudes ""Stengelstraße""-Saarbrücken: Elektroarbeiten";GIU Gesellschaft für Innovation und Unternehmensförderung mbH & Co. Flächenmanagement Saarbrücken KG;Saarbrücken;;2026-06-26T09:00:00.000Z;45310000;63;https://ted.europa.eu/bg/notice/-/detail/359207-2026
359251-2026;2026-05-26T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Isolierung;Markt Oberschwarzach, vertreten durch den Ersten Bürgermeister Andreas Zehner;Oberschwarzach;;2026-07-06T08:50:00.000Z;45311200;63;https://ted.europa.eu/bg/notice/-/detail/359251-2026
359377-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von elektrischen Leitungen – Gleisfeldbeleuchtung Freilassing km80,5-82,0 (5703), KTB, GFB Traunstein km52,5-54,0 (5703);DB InfraGO AG – Geschäftsbereich Fahrweg (Bukr 16);Frankfurt Main;;2026-06-05T07:00:00.000Z;45310000;63;https://ted.europa.eu/bg/notice/-/detail/359377-2026
359627-2026;2026-05-26T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Elektroinstallation;Markt Oberschwarzach, vertreten durch den Ersten Bürgermeister Andreas Zehner;Oberschwarzach;;2026-07-06T08:35:00.000Z;45311200;63;https://ted.europa.eu/bg/notice/-/detail/359627-2026
360444-2026;2026-05-26T22:00:00.000Z;Deutschland – Installateurarbeiten – Sanitärinstallation;VGem Mauern;Mauern;;2026-06-30T10:00:00.000Z;45330000 45332000;63;https://ted.europa.eu/bg/notice/-/detail/360444-2026
360487-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Lüftungsinstallation;VGem Mauern;Mauern;;2026-06-30T09:00:00.000Z;45331000 45331200;63;https://ted.europa.eu/bg/notice/-/detail/360487-2026
361651-2026;2026-05-26T22:00:00.000Z;Deutschland – Installateurarbeiten und Verlegung von Abwasserleitungen – Sanitär- und Feuerlöschanlagen;Bäder Halle GmbH;Halle (Saale);;2026-06-10T07:30:00.000Z;45332000 45332200 45332300 45332400;63;https://ted.europa.eu/bg/notice/-/detail/361651-2026
361845-2026;2026-05-26T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – GS Ost - Umbau im Bestand - Elektroinstallationen;Gebäudemanagementbetrieb der Landeshauptstadt Saarbrücken - GMS;Saarbrücken;;2026-06-29T08:00:00.000Z;45311200;63;https://ted.europa.eu/bg/notice/-/detail/361845-2026
362157-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Lüftungsinstallation;Markt Oberschwarzach, vertreten durch den Ersten Bürgermeister Andreas Zehner;Oberschwarzach;;2026-07-06T08:20:00.000Z;45331000;63;https://ted.europa.eu/bg/notice/-/detail/362157-2026
362349-2026;2026-05-26T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Umbau und Sanierung Grundschule Süd Altötting ELT_LV02_Elektroarbeiten;Stadt Altötting;Altötting;;2026-06-24T13:00:00.000Z;45311200 45315100;63;https://ted.europa.eu/bg/notice/-/detail/362349-2026
362702-2026;2026-05-26T22:00:00.000Z;"Deutschland – Installateurarbeiten – Sanierung eines Büro-und Verwaltungsgebäudes ""Stengelstraße""-Saarbrücken: Sanitärarbeiten";GIU Gesellschaft für Innovation und Unternehmensförderung mbH & Co. Flächenmanagement Saarbrücken KG;Saarbrücken;;2026-06-10T09:00:00.000Z;45330000;63;https://ted.europa.eu/bg/notice/-/detail/362702-2026
362863-2026;2026-05-26T22:00:00.000Z;Deutschland – Baufertigstellung – Wendlingen-Neubau Pavillon D – Technische Gebäudeausrüstung;TransnetBW GmbH;Stuttgart;;2026-06-08T07:00:00.000Z;45310000 45330000;63;https://ted.europa.eu/bg/notice/-/detail/362863-2026
362943-2026;2026-05-26T22:00:00.000Z;Deutschland – Installateurarbeiten – Sanitärarbeiten - Neubau zur Erweiterung des Warndtgymnasiums Geislautern;Regionalverband Saarbrücken - Zentrales Vergabemanagement;Saarbrücken;;2026-06-30T08:00:00.000Z;45330000;63;https://ted.europa.eu/bg/notice/-/detail/362943-2026
363107-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von elektrischen Leitungen – VE 4.28.2a - TGA Licht und Kraft;ZRE Zentrum für Ressourcen und Energie GmbH;Hamburg;;2026-07-14T08:00:00.000Z;45310000;63;https://ted.europa.eu/bg/notice/-/detail/363107-2026
363168-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Heizungsinstallation;VGem Mauern;Mauern;;2026-06-30T08:00:00.000Z;45331000 45331100;63;https://ted.europa.eu/bg/notice/-/detail/363168-2026
363328-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Heizungs-, Sanitär- und Lüftungstechnik Bauteil 4 am Berufskolleg Bocholt West, 46399 Bocholt;Kreis Borken;Borken;;2026-06-26T08:00:00.000Z;45331000;63;https://ted.europa.eu/bg/notice/-/detail/363328-2026
358793-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Schaltanlagen – Gebäudeautomation DIN 18386;Stadt Rosenheim;Rosenheim;197791;;45315700;60;https://ted.europa.eu/bg/notice/-/detail/358793-2026
361355-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Zentralheizungen – Tübingen, UNI, Innovationscampus Cyber Valley 2. BA CyVy 2.BA 4.420.1 Heizung Kälte;Vermögen und Bau Baden-Württemberg, Amt Tübingen;Tübingen;1334015.27;;45331100;60;https://ted.europa.eu/bg/notice/-/detail/361355-2026
361440-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Lüftungsanlagen – Gym. Otto-Pankok - Lüftungstechnik;Mülheim an der Ruhr - ImmobilienService;Mülheim an der Ruhr;244183.16;;45331210;60;https://ted.europa.eu/bg/notice/-/detail/361440-2026
362378-2026;2026-05-26T22:00:00.000Z;Deutschland – Installateurarbeiten – GS Steinhude: An-/Umbau zur Ganztagsschule - Raumlufttechnik, Bauteil C;Stadt Wunstorf;Wunstorf;68063.32;;45330000 45331000 45331200;60;https://ted.europa.eu/bg/notice/-/detail/362378-2026
362983-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Lüftungs- und Klimaanlagen – BSÄ,PR,(N),Unterbringung Raumlufttechnische und Kälte-Anlagen;Vermögen und Bau Baden-Württemberg, Amt Konstanz;Konstanz;628016.32;;45331200;60;https://ted.europa.eu/bg/notice/-/detail/362983-2026
363138-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Elektroanlagen – Gemeinde Rottach-Egern - Neubau Rathaus - Leitsystem;Gemeinde Rottach-Egern;Rottach-Egern;4435.71;;45311000 45310000;60;https://ted.europa.eu/bg/notice/-/detail/363138-2026
358706-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von kältetechnischen Anlagen – Württ. Landesbibliothek, Umstrukturierung/ Sanierung Bestand/ 3. BA KG 434 Kältetechnische Anlagen;Vermögen und Bau Baden-Württemberg, Amt Stuttgart;Stuttgart;800000;2026-06-30T07:00:00.000Z;45331231;55;https://ted.europa.eu/bg/notice/-/detail/358706-2026
358102-2026;2026-05-26T22:00:00.000Z;Deutschland – Elektrotechnikinstallation – 16FEI23001 Erneuerung VST Duisburg, Erneuerung 50 Hz-Anlagen;Vergabekammer des Bundes beim Bundeskartellamt​;Bonn;;;45315100;48;https://ted.europa.eu/bg/notice/-/detail/358102-2026
359539-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Zentralheizungen – Neubau Spree-Grundschule mit Sporthalle Fürstenwalde, Los 1.42 - Heizung;Landkreis Oder-Spree - Der Landrat;Beeskow;;;45331100;48;https://ted.europa.eu/bg/notice/-/detail/359539-2026
361620-2026;2026-05-26T22:00:00.000Z;Deutschland – Bauarbeiten für Schwimmbäder – Modernisierungsmaßnahmen am Jordan Badepark - Hallen- und Freibad - 87600 Kaufbeuren;Stadt Kaufbeuren;Kaufbeuren;;;45331200 45332400;48;https://ted.europa.eu/bg/notice/-/detail/361620-2026
362132-2026;2026-05-26T22:00:00.000Z;Deutschland – Kabelinfrastruktur – SPGK - ETCS Korridor Rhine-Alpine - ESTW Offenburg - hier: Kabeltiefbauarbeiten und Signalausleger;DB Netz AG (Bukr 16);Frankfurt Main;;;45314300;48;https://ted.europa.eu/bg/notice/-/detail/362132-2026
362775-2026;2026-05-26T22:00:00.000Z;Deutschland – Straßenmarkierungsarbeiten – Verkehrssicherung A995 FR12;Die Autobahn GmbH des Bundes - NL Südbayern;München;;;45316213;48;https://ted.europa.eu/bg/notice/-/detail/362775-2026
358023-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Aufzügen – Umbau und Sanierung Grundschule Süd Altötting ELT_LV03_Aufzugsarbeiten;Stadt Altötting;Altötting;;2026-06-24T13:30:00.000Z;45313100;43;https://ted.europa.eu/bg/notice/-/detail/358023-2026
358122-2026;2026-05-26T22:00:00.000Z;Deutschland – Stromversorgungsanlagen – PV-Anlage Neubau eines Wohnheims der Lebenshilfe Landshut e.V. in Auloh;Lebenshilfe Landshut;Landshut;;2026-06-22T08:00:00.000Z;45315300;43;https://ted.europa.eu/bg/notice/-/detail/358122-2026
358259-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Lüftungsanlagen – KH Merheim, Bettenhaussanierung Haus 20, A-Seite -- Raumlufttechnische Anlagen - 3;Kliniken der Stadt Köln gGmbH;Köln;;2026-06-09T12:00:00.000Z;45331210 45331200;43;https://ted.europa.eu/bg/notice/-/detail/358259-2026
358405-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Sanitäreinrichtungen – Michaelschule - Sanitärarbeiten;Stadt Rheine;Rheine;;2026-06-30T08:00:00.000Z;45332400;43;https://ted.europa.eu/bg/notice/-/detail/358405-2026
358888-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Schaltanlagen – Theodor-Fliedner-Stiftung | Neubau Alberichstraße | MSR;Theodor-Fliedner-Stiftung;Mannheim;;2026-06-01T09:00:00.000Z;45315700;43;https://ted.europa.eu/bg/notice/-/detail/358888-2026
359781-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Lüftungsanlagen – Umbau und Sanierung Grundschule Süd Altötting HLS_LV03_Lüftungsarbeiten;Stadt Altötting;Altötting;;2026-06-24T11:30:00.000Z;45331210;43;https://ted.europa.eu/bg/notice/-/detail/359781-2026
360009-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Lüftungsanlagen – Erweiterung GS Stickgras - Raumlufttechnische Anlagen;Stadt Delmenhorst;Delmenhorst;;2026-06-30T07:00:00.000Z;45331210;43;https://ted.europa.eu/bg/notice/-/detail/360009-2026
360270-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Zentralheizungen – Umbau und Sanierung Grundschule Süd Altötting HLS_LV02_Heizungsarbeiten;Stadt Altötting;Altötting;;2026-06-24T11:00:00.000Z;45331100;43;https://ted.europa.eu/bg/notice/-/detail/360270-2026
360320-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Sanitäreinrichtungen – Sanitärtechnische Installation;Gemeinde Eitting;Oberding;;2026-06-29T09:00:00.000Z;45332400;43;https://ted.europa.eu/bg/notice/-/detail/360320-2026
360524-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Sanitäreinrichtungen – Sanitärinstallation;Markt Oberschwarzach, vertreten durch den Ersten Bürgermeister Andreas Zehner;Oberschwarzach;;2026-07-06T07:50:00.000Z;45332400;43;https://ted.europa.eu/bg/notice/-/detail/360524-2026
361777-2026;2026-05-26T22:00:00.000Z;"Deutschland – Installation von Lüftungsanlagen – RS Schloss Neuhaus; Erweiterung; Raumlufttechnische Anlagen";Stadt Paderborn;Paderborn;;2026-06-29T06:00:00.000Z;45331210 45331200;43;https://ted.europa.eu/bg/notice/-/detail/361777-2026
362618-2026;2026-05-26T22:00:00.000Z;Deutschland – Entlüftungsgeräte – Campus Handwerk - Ausstattung Schweißen und Schleifen;Handwerkskammer Halle (Saale);Halle (Saale);;2026-06-22T09:00:00.000Z;45331210;43;https://ted.europa.eu/bg/notice/-/detail/362618-2026
363214-2026;2026-05-26T22:00:00.000Z;Deutschland – Photovoltaische Solarmodule/Solarzellen – Lieferung und betriebsfertige Montage einer Photovoltaikanlage auf dem Versorgungszentrum Medizin, Gebäude 6670 (Los 1) und elektrischer Anschluss (Los 2);Universitätsklinikum Heidelberg;Heidelberg;;2026-06-25T08:00:00.000Z;45315300 45315500;43;https://ted.europa.eu/bg/notice/-/detail/363214-2026
359019-2026;2026-05-26T22:00:00.000Z;Deutschland – Installation von Brandmeldeanlagen – Erweiterungsneubau Vitos KFP Hadamar - Brandmeldeanlage und ELA Anlage;Vitos gGmbH für Vitos Weil-Lahn gGmbH;Gießen;130656.12;;45312100;40;https://ted.europa.eu/bg/notice/-/detail/359019-2026
360619-2026;2026-05-26T22:00:00.000Z;"Deutschland – Kabelinfrastruktur – ESTW Stadtallendorf; Kabeltiefbau inkl Ausführungsplanung";DB InfraGO AG – Geschäftsbereich Fahrweg (Bukr 16);Frankfurt Main;0;;45314300;40;https://ted.europa.eu/bg/notice/-/detail/360619-2026
354077-2026;2026-05-25T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Elektro-, Sicherheits- und Informationstechnische Anlagen DIN 18382;Stadt Rosenheim;Rosenheim;554570;;45311200 45311100 45316000 45311000 45315700 45314310 45312310 45312100 45314320 45314200;80;https://ted.europa.eu/bg/notice/-/detail/354077-2026
354886-2026;2026-05-25T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Altenpflegeheim Neviandtstr. 87, SRA und BMA;Stadt Wuppertal;Wuppertal;258613.68;;45311200;80;https://ted.europa.eu/bg/notice/-/detail/354886-2026
356195-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten – Neubau eines Straßenknotenpunktes zur Anbindung Hafner;Stadt Konstanz, Bauverwaltungsamt;Konstanz;2308035.35;;45316000;80;https://ted.europa.eu/bg/notice/-/detail/356195-2026
356261-2026;2026-05-25T22:00:00.000Z;Deutschland – Elektroinstallationsarbeiten – Elektroinstallationen BA2;Berufsförderungswerk München gemeinnützige GmbH;Kirchseeon;150185.22;;45311200 45312310 45315100 45314320;80;https://ted.europa.eu/bg/notice/-/detail/356261-2026
356992-2026;2026-05-25T22:00:00.000Z;Deutschland – Bauarbeiten für Rohrleitungen, Fernmelde- und Stromleitungen – Behördenzentrum Lüneburg Nord - LAVES, Grundsanierung und Anpassung Labor, Gebäudeautomation BA 1 + 2;Land Niedersachsen vertreten durch das Staatliche Baumanagement Niedersachsen;Munster;1244966.15;;45311200 45317000;80;https://ted.europa.eu/bg/notice/-/detail/356992-2026
357200-2026;2026-05-25T22:00:00.000Z;Deutschland – Installation von Elektroanlagen – Sanierung Rathaus mit Kulturzentraum: Elektrotechnik;Stadt Bocholt;Bocholt;6627466.4;;45311000;80;https://ted.europa.eu/bg/notice/-/detail/357200-2026
354968-2026;2026-05-25T22:00:00.000Z;Deutschland – Installation von Elektroanlagen – Neubau Kriminalpolizeidirektion und Polizeirevier Calw Elektro- und Kommunikationstechnik, DIN 18382;Vermögen und Bau Baden-Württemberg, Amt Pforzheim;Pforzheim;4533595.81;2026-06-08T21:59:00.000Z;45311000;75;https://ted.europa.eu/bg/notice/-/detail/354968-2026
357512-2026;2026-05-25T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Bestandslüftung;Vergabestelle Landeshauptstadt Stuttgart;Stuttgart;;;45331000 45331210;68;https://ted.europa.eu/bg/notice/-/detail/357512-2026
353752-2026;2026-05-25T22:00:00.000Z;"Deutschland – Elektroinstallationsarbeiten – Verbandsgemeinde Ruwer; Neubau der Grundschule in Osburg";Verbandsgemeindeverwaltung Ruwer;Waldrach;;2026-06-24T08:00:00.000Z;45311200;63;https://ted.europa.eu/bg/notice/-/detail/353752-2026
354024-2026;2026-05-25T22:00:00.000Z;Deutschland – Installation von Heizungs-, Lüftungs- und Klimaanlagen – Heizungstechnik;Landeshauptstadt Hannover - Fachbereich Gebäudemanagement;Hannover;;2026-06-25T07:00:00.000Z;45331000;63;https://ted.europa.eu/bg/notice/-/detail/354024-2026
354203-2026;2026-05-25T22:00:00.000Z;Deutschland – Installateurarbeiten und Verlegung von Abwasserleitungen – VE400.001 Sanitärarbeiten;Große Kreisstadt Donauwörth;Donauwörth;;2026-06-15T08:00:00.000Z;45332000;63;https://ted.europa.eu/bg/notice/-/detail/354203-2026
