id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
510368-2026;2026-07-22T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Grünanlagen – Außenanlagen - Neubau Chemie, Geb. 4277, Konstantin-Uhde-Str. 18, 38106 Braunschweig;Technische Universität Braunschweig, Geschäftsbereich 3 - Gebäudemanagement;Braunschweig;1202288.68;;45112710;80;https://ted.europa.eu/bg/notice/-/detail/510368-2026
511826-2026;2026-07-22T22:00:00.000Z;Deutschland – Straßenreinigung – Reinigung und Pflege von Grünanlagen und Straßenbegleitgrün;Landeshauptstadt Stuttgart, Haupt- und Personalamt, Abt. Allgemeiner Service, Zentraler Einkauf;Stuttgart;;2026-07-30T10:00:00.000Z;77310000;68;https://ted.europa.eu/bg/notice/-/detail/511826-2026
505315-2026;2026-07-21T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Grünanlagen – Rahmenvereinbarung GaLaBau 2026-2027_Bezirk OST;Stadt Frankfurt am Main, Grünflächenamt;Frankfurt am Main;;2026-08-04T07:00:00.000Z;45112710 45112730 45112700;68;https://ted.europa.eu/bg/notice/-/detail/505315-2026
508446-2026;2026-07-21T22:00:00.000Z;Deutschland – Anpflanzungs- und Pflegearbeiten an Grünflächen – OV Herbstmahd, SM Bad Freienwalde 2026;Landesbetrieb Straßenwesen Brandenburg Dienststätte Eberswalde;Hoppegarten;;;77310000;68;https://ted.europa.eu/bg/notice/-/detail/508446-2026
505708-2026;2026-07-21T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Bauleistungen für Dachbegrünungen – Erweiterung Klinikum Crailsheim: BA II - Dachbegrünung;Landratsamt Schwäbisch Hall, Technisches Gebäudemanagement;Schwäbisch Hall;;2026-08-21T08:00:00.000Z;45112713;63;https://ted.europa.eu/bg/notice/-/detail/505708-2026
505959-2026;2026-07-21T22:00:00.000Z;Deutschland – Dachdeckarbeiten – Dachdeckungsarbeiten;Landeshauptstadt Hannover - Fachbereich Gebäudemanagement;Hannover;;2026-08-28T07:00:00.000Z;45112713;63;https://ted.europa.eu/bg/notice/-/detail/505959-2026
505844-2026;2026-07-21T22:00:00.000Z;Deutschland – Landschaftsgärtnerische Arbeiten – GaLaBauarbeiten;Sprinkenhof GmbH;Hamburg;;2026-08-04T10:00:00.000Z;45112700 45112712;48;https://ted.europa.eu/bg/notice/-/detail/505844-2026
506421-2026;2026-07-21T22:00:00.000Z;Deutschland – Dachdeckarbeiten – Dacharbeiten und Dachbegrünung;Handwerkskammer Niederbayern-Oberpfalz;Regensburg;;2026-07-28T11:00:00.000Z;45112713;43;https://ted.europa.eu/bg/notice/-/detail/506421-2026
504684-2026;2026-07-20T22:00:00.000Z;Deutschland – Grundstückspflege – Deichunterhaltung Grasmahd/Hutung 2027-2030;Thüringer Landesamt für Umwelt, Bergbau und Naturschutz;Jena;;2026-09-15T08:00:00.000Z;77314000;83;https://ted.europa.eu/bg/notice/-/detail/504684-2026
502297-2026;2026-07-20T22:00:00.000Z;Deutschland – Dienstleistungen im Gartenbau – Unterhaltspflege im Garten- und Landschaftsbau - Kontrollabschnitt 1;Die Autobahn GmbH des Bundes - NL Ost;Halle (Saale);770490.57;;77300000 77314000 77340000 77342000 77341000;80;https://ted.europa.eu/bg/notice/-/detail/502297-2026
