id;veroeffentlicht;titel;auftraggeber;ort;wert_eur;frist;cpv;score;url
468079-2026;;Deutschland – Gebäudereinigung – IGM 26E1001 - Staatliches Baumanagement Braunschweig, Fachbereich Gebäudemanagement - Ostfalia-Hochschule WF/WOB/SZ/Suderburg - Unterhaltsreinigung;Land Niedersachsen vertreten durch das Staatliche Baumanagement Niedersachsen;Braunschweig;8587701.43;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/468079-2026
468262-2026;;Deutschland – Fensterreinigung – BLB /Z /NL Aachen/Infrastrukturelle Gebäudedienstleistungen/Lose 2 und 6_100-26-00036;Bau- und Liegenschaftsbetrieb NRW Zentrale;Düsseldorf;1224349.05;;90911300;80;https://ted.europa.eu/bg/notice/-/detail/468262-2026
468947-2026;;Deutschland – Reinigungsdienste – Gebäudereinigung eines Kulturzentrums der Gemeinde Alfdorf;Gemeinde Alfdorf;Alfdorf;158420.41;;90910000 90911000 90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/468947-2026
473715-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung für fünf Schulen und ein Verwaltungsgebäude in Pritzwalk;Landkreis Prignitz;Perleberg;889087.43;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/473715-2026
473724-2026;;Deutschland – Reinigungsdienste – Gebäudereinigung - Justizvollzugsanstalt Dresden;Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement;Dresden;220699.78;;90910000;80;https://ted.europa.eu/bg/notice/-/detail/473724-2026
474244-2026;;Deutschland – Gebäudereinigung – Reinigung VG Ritterstraße/Villa;Landratsamt Ilm-Kreis;Arnstadt;112451.83;;90911200 90911300 90919200;80;https://ted.europa.eu/bg/notice/-/detail/474244-2026
474548-2026;;Deutschland – Gebäudereinigung – Rahmenvertrag zur Unterhalts- und Sonderreinigung;Nordwasser GmbH;Rostock;381769.31;;90911200 90911300 90919200;80;https://ted.europa.eu/bg/notice/-/detail/474548-2026
474750-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung für vier Schulen und eine Mehrzweckhalle in Perleberg;Landkreis Prignitz;Perleberg;842153.95;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/474750-2026
474972-2026;;Deutschland – Gebäudereinigung – Unterhalts- und Glasreinigung;Stadt Kreuztal;Kreuztal;294641.26;;90911200 90911300;80;https://ted.europa.eu/bg/notice/-/detail/474972-2026
475846-2026;;Deutschland – Gebäudereinigung – Unterhaltsreinigung Dortmund Mengede;Vergabe und Beschaffungszentrum Dortmund;Dortmund;2501056.2;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/475846-2026
476212-2026;;Deutschland – Gebäudereinigung – Dienstleistung Reinigung;Stadtverwaltung Gotha;Gotha;159706;;90911200;80;https://ted.europa.eu/bg/notice/-/detail/476212-2026
476360-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – Reinigungsleistungen LASuV Leipzig;Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Zentrale, Zentralstelle Vergabe- und Vertragsmanagement;Dresden;266488.39;;90911000;80;https://ted.europa.eu/bg/notice/-/detail/476360-2026
476539-2026;;Deutschland – Büroreinigung – BEREITSTELLUNG VON REINIGUNGSDIENSTLEISTUNGEN UND -MATERIAL;European Insurance and Occupational Pensions Authority;Frankfurt;400000;;90919200 90910000;80;https://ted.europa.eu/bg/notice/-/detail/476539-2026
477267-2026;;Deutschland – Wohnungs-, Gebäude- und Fensterreinigung – OsnabrückHalle und INNOVATORIUM: Reinigungsleistungen;Stadt Osnabrück - FD Öffentliche Aufträge;Osnabrück;266161.13;;90911000 90910000 90911200;80;https://ted.europa.eu/bg/notice/-/detail/477267-2026
477384-2026;;Deutschland – Reinigungsdienste – Unterhalts- und Grundreinigung in diversen Objekten;Magistrat der Wissenschaftsstadt Darmstadt Eigenbetrieb für kommunale Aufgaben und Dienstleistungen (EAD) vertreten durch die Betriebsleitung;Darmstadt;768331.65;;90910000 90911200;80;https://ted.europa.eu/bg/notice/-/detail/477384-2026
